h_county_tract,average_commute_time,average_walk_distance,number_of_commuters
081062200,2571.29571106,555.616103039,443
081062300,2471.09411765,762.519327641,425
081062400,4948.05555556,1573.94429671,108
081062500,1706.46422018,671.366669309,545
081062600,2216.08052434,683.692605951,534
081062700,1620.4625624,564.323427532,601
081062900,1733.73965517,492.312527559,580
081063000,2552.38387097,1078.51551365,310
081063200,2334.95728643,724.417007857,398
081063301,2155.78419453,708.929389079,329
081063302,2109.38690476,674.541637574,336
081063500,1616.31446541,465.540524643,477
081063700,1672.67454545,604.01083319,550
081063800,1786.11754685,650.007290464,587
081063900,1328.6120944,338.265245702,678
081064101,1778.14482759,601.197721008,435
081064102,3425.91666667,888.033573394,84
081064500,1870.19142857,751.079937613,350
081064600,1906.12219959,883.151485703,491
081065000,2157.72660099,870.532392567,406
081065400,2015.52352941,713.498699614,510
081065501,3491.1980198,1322.06244093,101
081065600,1751.24867021,650.60011735,752
081065702,1787.79096045,576.50624077,354
081065703,1464.58089669,475.249696374,513
081065900,1821.36887608,602.675075013,347
081066000,1999.12132353,671.272355054,544
081066100,1894.98618785,761.354558652,362
081066300,1638.07663551,540.592199998,535
081066400,1610.04704205,574.332951858,1403
081066501,1485.58164852,476.58904317,643
081066701,1270.19572954,407.019013792,562
081066900,1930.81795511,628.979576208,401
081067100,1748.70982143,434.139875133,448
081067700,1690.95631068,491.231667949,412
081067900,1139.05882353,398.445838732,680
081068000,1395.81432039,550.556457586,824
081068200,2048.45487365,589.545574195,277
081068300,1379.20180723,368.682680518,664
081068700,1465.08959157,469.496171138,759
081069000,1921.61341853,650.433810479,626
081069300,1425.01260504,434.574519601,476
081069400,2168.08125,552.395618842,640
081069500,1770.79441624,669.843244054,394
081069701,1299.10553633,492.198900264,578
081069702,1564.79464286,605.041684007,560
081070300,1895.97733711,737.072527336,353
081070700,1865.61946903,764.276157294,339
081070900,1515.14325069,691.124754384,363
081071100,1354.45660377,532.408926995,530
081071303,1261.28548644,437.947033228,627
081071304,1260.4375,479.261895901,832
081071305,1444.02115385,479.999904553,520
081071306,1295.0,455.798711732,813
081071600,5584.63709677,1957.7462566,124
081071701,1221.64617486,350.492327929,732
081071702,1220.09708738,411.036127246,618
081071900,1239.0297619,422.485776986,504
081072100,1156.87875417,407.266399724,899
081072300,1626.39466667,692.099418263,375
081072900,1838.45714286,657.200544552,350
081073100,2024.8490566,901.587256855,265
081073700,1640.10691824,635.908223481,318
081073900,1264.10021322,375.307740111,469
081074100,1571.2304038,523.624955333,421
081074300,1163.19435737,374.064791347,638
081074500,1412.48372781,348.348028995,676
081074700,1443.99184339,570.542159218,613
081074900,1629.69553806,776.531536949,381
081075701,1279.37037037,428.655634972,567
081075702,1517.58802178,559.641274633,551
081076901,1335.08395062,546.941803006,405
081076902,2109.57613169,698.819678515,243
081077300,1622.32850242,601.421346007,414
081077500,1560.81185567,598.298599951,388
081077902,1410.07794118,500.145392037,680
081077903,1553.40863787,571.412024415,602
081077904,1257.87320574,431.432242048,836
081077905,1860.54620123,640.960089065,487
081077906,1319.57894737,455.797071282,570
081077907,1481.16697248,494.494432654,545
081077908,1786.86156648,606.993852622,549
081078800,2060.71703297,617.904876186,364
081079000,1948.20558882,489.963193852,501
081079200,1883.31278539,504.118608335,438
081079300,3897.51578947,1728.15976509,95
081079701,1096.73684211,402.470116392,912
081079702,1216.56689655,469.698415223,725
081079900,1106.67027027,310.866561338,740
081080301,1423.56413613,472.292361029,764
081080302,1329.09580052,354.060278737,762
081080900,1314.29314421,427.642609696,846
081081400,1570.46341463,568.902416775,779
081081800,1753.50275482,442.172989663,726
081083700,1175.24186992,398.906764348,984
081083800,1392.2233677,271.945966158,1164
081084000,1269.09035222,366.967486579,1306
081084500,1131.04694049,287.013642828,1193
081084601,1805.2576,496.521134796,625
081084602,2803.34693878,859.015358015,245
081084900,831.552422907,290.076110032,1135
081085300,956.998746867,293.608497964,798
081085500,1060.89568706,380.432067095,997
081085700,1160.47910593,450.277429688,1029
081085900,1042.69146825,305.5231609,1008
081086100,1497.03818616,439.229607263,419
081086300,970.806422837,387.305790305,1121
081086400,1621.79508197,644.341500254,732
081086500,1417.07868852,471.591304239,610
081086900,1283.77598152,468.753683254,433
081087100,1295.21616162,460.777570774,495
081088400,1048.1055409,284.638050855,1516
