FID,FID_1,CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Area,Count_,Sum_Id,IsDestination?,FlatbushDest,ChinaDest,JamicaDest,OriginChina,DONOTUSE,OriginFlat,DoNotUse,OriginJamica
118,118,249,3,Brooklyn,024900,3024900,E,BK75,Bedford,4003,5777.655193,1813352.673,0,0,0,0,0,0,0,0,0,0,0
119,119,250,3,Brooklyn,025000,3025000,E,BK28,Bensonhurst West,4017,5938.202539,1867289.953,0,0,0,0,0,0,0,0,0,0,0
120,120,252,3,Brooklyn,025200,3025200,E,BK28,Bensonhurst West,4017,6686.606727,1950979.095,0,0,0,0,0,0,0,0,0,0,0
121,121,254,3,Brooklyn,025400,3025400,E,BK28,Bensonhurst West,4017,6302.394681,1888611.582,0,0,0,0,0,0,0,0,0,0,0
122,122,256,3,Brooklyn,025600,3025600,E,BK28,Bensonhurst West,4017,6298.065461,1869263.07,0,0,0,0,0,0,0,0,0,0,0
123,123,258,3,Brooklyn,025800,3025800,E,BK28,Bensonhurst West,4017,6257.55432,1832115.625,0,0,0,0,0,0,0,0,0,0,0
124,124,260,3,Brooklyn,026000,3026000,E,BK28,Bensonhurst West,4017,5699.189185,1753286.172,0,0,0,0,0,0,0,0,0,0,0
125,125,262,3,Brooklyn,026200,3026200,I,BK28,Bensonhurst West,4017,5384.768035,1699503.058,0,0,0,0,0,0,0,0,0,0,0
126,126,263,3,Brooklyn,026300,3026300,E,BK75,Bedford,4003,4799.556849,1287405.971,0,0,0,0,0,0,0,0,0,0,0
127,127,264,3,Brooklyn,026400,3026400,E,BK28,Bensonhurst West,4017,7095.086067,2038976.304,0,0,0,0,0,0,0,0,0,0,0
128,128,266,3,Brooklyn,026600,3026600,I,BK28,Bensonhurst West,4017,7706.999647,1785503.086,0,0,0,0,0,0,0,0,0,0,0
129,129,267,3,Brooklyn,026700,3026700,I,BK75,Bedford,4003,5340.244066,1717367.877,0,0,0,0,0,0,0,0,0,0,0
